Date,State,Sector,GDP_Before_COVID,GDP_During_COVID,GDP_Loss_Percent,Unemployment_Rate_Before,Unemployment_Rate_During,Migration_Effect,Recovery_Factor,Govt_Support_Received,Sector_Impact_Score,Health_Index,Lockdown_Severity,Vaccination_Rate,Urban_Rural_Ratio,Inflation_Rate,Population_Affected,Recovery_Progress,Remarks
2021-01-20,West Bengal,Mining,78732.42,54921.06,30.24,6.69,14.816843446746,1,0.3,797.03,7,39.95,3,11.32,1.7,3.2,348.08,35.86,Low Impact
2021-02-19,Manipur,Transport,20767.7,13992.17,32.63,4.81,12.6637542279095,0,0.28,797.03,1,94.08,1,59.68,0.22,6.4,181.0,31.03,High Impact
2021-03-21,Himachal Pradesh,Services,51909.21,48540.66,6.49,3.37,10.8461610065374,1,0.6,797.03,4,72.55,4,35.41,0.23,4.02,161.24,40.95,High Impact
2021-04-20,Manipur,Real Estate,59649.04,35974.46,39.69,8.08,16.4848329314221,0,0.82,797.03,2,59.52,4,46.42,1.72,3.84,1.62,88.45,High Impact
2021-05-20,Assam,Real Estate,5598.59,5314.39,5.08,3.85,8.44449171068076,0,0.76,797.03,10,87.73,1,32.81,1.42,6.74,32.71,55.47,Low Impact
2021-06-19,Punjab,Services,61146.94,51173.11,16.31,5.12,7.96648753584629,0,0.26,797.03,3,75.14,3,40.47,1.46,4.87,312.0,31.62,Low Impact
2021-07-19,Madhya Pradesh,Services,17881.89,15914.24,11.0,6.73,9.92271672039743,1,0.25,797.03,1,52.67,3,82.26,1.32,5.65,257.79,44.61,High Impact
2021-08-18,Haryana,Manufacturing,7440.11,5231.27,29.69,6.95,11.195823826539,1,0.97,797.03,2,87.47,2,59.35,2.77,5.16,217.97,19.52,High Impact
2021-09-17,Jharkhand,Real Estate,94939.67,57439.48,39.5,7.2,14.2019793552278,1,0.01,797.03,1,73.33,2,99.73,1.21,6.89,413.92,91.36,High Impact
2021-10-17,Bihar,Agriculture,96597.57,82905.28,14.17,4.16,14.5644275054602,1,0.88,797.03,8,75.42,5,78.69,2.6,5.82,252.45,46.74,Medium Impact
2021-11-16,Nagaland,Trade,81031.34,72275.95,10.8,5.66,14.6729334208838,0,0.2,797.03,4,88.27,2,27.37,2.73,8.78,192.86,98.24,Low Impact
2021-12-16,Sikkim,Construction,31156.76,26768.85,14.08,7.32,17.2104060420204,0,0.95,797.03,3,59.15,4,26.43,1.6,5.11,81.47,41.28,Medium Impact
2022-01-15,Maharashtra,Agriculture,10669.54,6935.18,35.0,9.79,15.2997562392609,1,0.34,797.03,1,72.7,1,33.59,1.45,7.44,410.52,85.27,Low Impact
2022-02-14,Goa,Construction,68739.07,59369.92,13.63,8.09,14.1365374164855,1,0.44,797.03,2,78.4,3,84.33,2.33,4.54,288.55,33.07,Low Impact
2022-03-16,Nagaland,Agriculture,44575.1,38741.24,13.09,9.46,15.3968188599061,1,0.71,797.03,3,59.51,5,2.73,2.18,6.05,47.14,16.85,Medium Impact
2022-04-15,Rajasthan,Transport,13081.79,10864.29,16.95,8.34,12.258731844045,1,0.59,797.03,3,35.42,2,23.02,1.12,6.32,324.8,12.86,High Impact
2022-05-15,Manipur,Trade,50022.51,43426.57,13.19,7.14,9.75216658143572,0,0.32,797.03,6,80.14,5,90.49,0.49,4.97,213.11,64.56,Low Impact
2022-06-14,Punjab,Mining,4404.46,3946.72,10.39,4.34,12.2491609282722,1,0.55,797.03,10,33.11,1,63.99,0.94,5.83,405.88,38.04,Medium Impact
2022-07-14,Odisha,Finance,91022.72,74161.8,18.52,7.67,19.5621668342058,0,0.73,797.03,8,76.66,1,22.68,0.57,4.68,459.54,49.92,Medium Impact
2022-08-13,Bihar,Mining,26619.22,16797.04,36.9,7.36,11.0282970495026,1,0.04,797.03,6,89.21,5,21.91,1.03,3.04,300.63,83.68,Low Impact
2022-09-12,Gujarat,Real Estate,66589.71,51318.67,22.93,7.22,9.68684819899273,1,0.01,797.03,2,52.55,5,86.26,0.93,4.29,366.07,32.33,High Impact
2022-10-12,West Bengal,Trade,31859.4,19981.49,37.28,6.43,16.2253168182393,1,0.46,797.03,2,36.63,5,89.38,1.99,7.2,29.24,37.78,Low Impact
2022-11-11,Goa,Agriculture,52486.73,38978.75,25.74,6.7,11.2258600668472,0,0.13,797.03,7,45.14,3,25.61,2.87,7.63,280.57,86.08,Low Impact
2019-01-01,Odisha,Construction,55124.32,40929.11,25.75,5.34,15.6364380535292,1,0.66,797.03,1,66.55,4,42.05,2.12,4.68,377.91,54.35,High Impact
2019-01-31,Karnataka,Trade,19300.59,12026.26,37.69,6.64,15.6793666703451,0,0.21,797.03,1,91.27,2,83.46,2.79,5.45,248.88,84.49,Medium Impact
2019-03-02,Tamil Nadu,Transport,96988.88,70034.43,27.79,4.38,15.836735370508,0,0.43,797.03,7,63.3,2,77.1,2.4,3.22,297.18,43.7,Medium Impact
2019-04-01,Kerala,Agriculture,77738.15,49662.97,36.12,8.64,14.7292723575667,1,0.2,797.03,9,37.33,2,81.39,2.24,4.42,449.58,45.85,High Impact
2019-05-01,Karnataka,Transport,94010.4,83000.12,11.71,4.3,12.9196983945063,0,0.55,797.03,5,70.81,5,51.84,1.36,7.68,99.85,25.04,Medium Impact
2019-05-31,Telangana,Trade,89587.91,83468.23,6.83,3.59,10.2385478081327,0,0.12,797.03,1,77.63,5,91.15,1.11,6.64,50.03,92.47,Medium Impact
2019-06-30,Sikkim,Manufacturing,60192.1,37638.77,37.47,6.05,14.3558869730854,0,0.02,797.03,5,55.56,5,32.6,2.57,4.23,345.63,90.71,High Impact
2019-07-30,Telangana,Transport,92265.55,86202.81,6.57,7.61,14.1059890600773,1,0.05,797.03,1,76.9,3,15.67,2.74,4.54,411.6,98.58,High Impact
2019-08-29,Uttarakhand,Finance,9760.76,7641.72,21.71,6.06,9.94632246424074,0,0.95,797.03,10,51.11,3,70.87,1.47,7.9,425.39,46.22,Medium Impact
2019-09-28,Bihar,Finance,20402.3,14380.52,29.52,4.94,12.0189741600338,0,0.14,797.03,9,81.29,3,53.94,0.23,4.25,321.18,83.68,Low Impact
2019-10-28,Nagaland,Real Estate,5477.5,3433.85,37.31,6.91,14.1958420143744,1,0.71,797.03,4,52.17,3,85.46,2.42,5.0,416.77,47.35,Medium Impact
2019-11-27,Uttar Pradesh,Finance,33207.7,25743.22,22.48,5.43,15.5360384826016,1,0.07,797.03,9,46.65,1,8.12,1.0,6.99,350.63,50.89,High Impact
2019-12-27,Meghalaya,Transport,39479.05,34665.78,12.19,9.53,18.8852070579358,0,0.11,797.03,2,87.15,3,84.37,0.23,6.37,44.6,84.7,Low Impact
2020-01-26,Haryana,Services,27863.55,23613.81,15.25,9.46,18.0979162394144,0,0.51,797.03,7,65.65,3,29.33,2.45,5.77,381.26,25.96,Low Impact
2020-02-25,Assam,Real Estate,83045.01,51286.86,38.24,6.52,9.65387095552572,0,0.46,797.03,2,48.54,3,65.49,1.65,8.4,90.5,29.83,Low Impact
2020-03-26,Karnataka,Real Estate,36318.58,22717.84,37.45,5.3,14.5061629066371,0,0.95,797.03,4,90.78,2,4.01,2.12,4.32,119.07,38.33,Low Impact
2020-04-25,Kerala,Transport,28812.52,21350.24,25.9,8.16,15.1630515635451,1,0.94,797.03,6,74.91,2,60.96,2.76,7.45,197.93,80.94,Low Impact
2020-05-25,Tamil Nadu,Mining,54726.91,38492.26,29.66,3.26,14.2009953610615,1,0.78,797.03,2,44.35,2,71.73,1.72,3.95,157.97,43.54,Low Impact
2020-06-24,Assam,Trade,14951.5,10186.97,31.87,6.32,17.5187093413054,0,0.6,797.03,2,69.95,4,36.88,1.61,6.69,161.5,42.24,Low Impact
2020-07-24,Andhra Pradesh,Manufacturing,80417.5,56159.69,30.16,5.35,7.90156590601785,1,0.45,797.03,2,86.57,1,21.54,1.01,8.22,85.46,99.89,High Impact
2020-08-23,Arunachal Pradesh,Finance,8380.51,7385.06,11.88,9.44,19.6464156035447,0,0.36,797.03,3,75.25,5,53.76,1.05,5.75,147.64,44.54,Low Impact
2020-09-22,Himachal Pradesh,Manufacturing,98701.81,91321.86,7.48,3.08,5.4569739042267,1,0.95,797.03,5,45.91,3,83.32,2.43,7.35,10.81,32.3,Medium Impact
2020-10-22,Uttarakhand,Finance,77452.23,57452.98,25.82,6.87,12.5416962569502,1,0.6,797.03,9,72.18,2,32.35,1.46,7.92,236.98,66.09,Low Impact
2020-11-21,Sikkim,Public Administration,20672.85,18959.87,8.29,8.18,15.6029997562107,0,0.58,797.03,6,70.25,1,25.25,0.66,3.82,384.53,82.17,Low Impact
2020-12-21,Telangana,Services,1546.69,1102.05,28.75,6.4,9.88100798627127,0,0.23,797.03,9,83.35,3,27.89,0.46,7.23,431.26,16.26,Low Impact
2021-01-20,Jharkhand,Mining,81730.68,62667.24,23.32,3.6,13.0631381256907,0,0.05,797.03,10,41.58,4,94.91,1.52,8.52,410.39,65.7,Low Impact
2021-02-19,West Bengal,Trade,70978.88,48202.48,32.09,9.81,11.8935470417213,0,0.95,797.03,5,75.48,5,35.93,1.5,6.46,208.81,13.22,Low Impact
2021-03-21,Manipur,Transport,73171.71,60305.68,17.58,6.63,10.3159904843403,1,0.31,797.03,6,31.78,3,0.36,2.03,4.12,365.48,57.37,High Impact
2021-04-20,Tamil Nadu,Manufacturing,77355.76,72918.9,5.74,7.3,15.1079682985347,1,0.44,797.03,10,75.25,5,78.17,1.52,3.76,144.66,33.13,Medium Impact
2021-05-20,Uttar Pradesh,Manufacturing,8330.42,6757.82,18.88,4.66,13.8038756203729,0,0.11,797.03,8,92.43,3,69.93,0.6,4.56,28.73,37.6,Low Impact
2021-06-19,Tripura,Transport,36488.11,26462.45,27.48,6.38,17.5464310269391,1,0.84,797.03,3,41.34,4,12.86,1.62,3.62,338.31,52.04,Low Impact
2021-07-19,Madhya Pradesh,Trade,12471.04,10310.26,17.33,6.0,15.0549665193462,1,0.03,797.03,2,50.23,1,98.49,2.74,6.08,324.75,93.44,High Impact
2021-08-18,Goa,Trade,86447.24,55587.5,35.7,3.52,12.2377927025486,0,0.83,797.03,3,67.89,5,60.81,0.65,3.42,401.01,73.96,Medium Impact
2021-09-17,Andhra Pradesh,Real Estate,62706.51,57127.55,8.9,3.74,9.68341146350664,0,0.14,797.03,9,77.61,5,50.08,2.13,4.34,308.44,94.32,Medium Impact
2021-10-17,Tamil Nadu,Public Administration,33758.9,26199.59,22.39,8.86,10.872844255268,1,0.89,797.03,6,52.38,1,38.22,1.86,5.64,79.29,69.4,Low Impact
2021-11-16,Sikkim,Finance,7292.28,5522.24,24.27,4.68,7.88159258735621,0,0.73,797.03,10,73.18,5,89.87,2.3,5.84,426.73,10.64,Low Impact
2021-12-16,Madhya Pradesh,Services,31787.25,25590.41,19.49,4.36,11.7055454475603,0,0.16,797.03,4,88.45,2,24.4,0.62,6.39,314.0,33.9,Low Impact
2022-01-15,Sikkim,Real Estate,33193.15,27174.38,18.13,6.53,15.2812988584441,1,0.57,797.03,10,77.23,1,28.58,2.84,7.23,404.0,91.52,Medium Impact
2022-02-14,Karnataka,Transport,73231.01,45778.28,37.49,8.38,14.5544828389646,1,0.31,797.03,3,76.22,4,12.24,1.94,3.28,387.28,67.91,High Impact
2022-03-16,Kerala,Real Estate,64118.19,53789.78,16.11,3.43,12.7367901152839,0,0.18,797.03,2,54.83,3,75.91,2.57,3.48,149.63,98.35,Low Impact
2022-04-15,Bihar,Agriculture,88834.06,60822.56,31.53,7.04,14.2586229533217,1,0.86,797.03,4,89.24,3,59.55,0.89,3.37,38.2,24.04,Low Impact
2022-05-15,Haryana,Transport,47749.28,40581.32,15.01,3.83,6.57176195594312,0,0.4,797.03,9,48.03,1,60.91,2.27,5.54,89.08,36.71,High Impact
2022-06-14,Himachal Pradesh,Public Administration,12839.83,11400.32,11.21,3.26,7.18016250967948,0,0.4,797.03,4,43.34,2,21.85,2.39,3.25,47.34,42.61,High Impact
2022-07-14,Arunachal Pradesh,Finance,71611.23,63117.1,11.86,3.37,13.7699822324394,1,0.17,797.03,5,53.67,4,65.12,1.31,7.48,122.46,39.39,Low Impact
2022-08-13,Telangana,Trade,76317.72,60548.6,20.66,8.84,18.0891274662443,1,0.38,797.03,8,72.26,3,76.55,1.28,4.34,230.31,32.68,High Impact
2022-09-12,Rajasthan,Agriculture,56566.44,44238.32,21.79,3.83,14.7776198701249,0,0.87,797.03,2,86.01,3,35.79,2.04,8.64,453.5,49.91,Low Impact
2022-10-12,Telangana,Manufacturing,77325.75,50262.25,35.0,3.32,6.49557249120936,0,0.36,797.03,3,38.59,2,80.13,0.46,5.92,436.14,67.81,Medium Impact
2022-11-11,Telangana,Finance,49885.76,43469.01,12.86,6.07,17.9722253461507,0,0.95,797.03,6,82.9,5,34.88,2.26,5.68,359.58,38.01,Medium Impact
2019-01-01,West Bengal,Transport,52750.55,36661.28,30.5,8.91,13.0040671394993,1,0.95,797.03,7,82.83,1,75.81,0.32,7.68,13.03,17.17,High Impact
2019-01-31,Tripura,Mining,43326.56,33527.97,22.62,4.84,6.95779876286642,0,0.14,797.03,4,68.15,2,3.37,0.73,7.28,171.35,73.77,High Impact
2019-03-02,Bihar,Services,3516.49,2459.77,30.05,5.95,17.9242293905355,1,0.18,797.03,1,79.44,2,55.12,2.06,6.64,341.49,51.31,Medium Impact
2019-04-01,Manipur,Agriculture,11681.25,7555.9,35.32,3.28,8.09073885445113,0,0.86,797.03,7,41.82,2,96.95,0.48,8.61,65.39,60.08,Medium Impact
2019-05-01,Tripura,Services,4111.49,3372.84,17.97,6.14,14.8201945251256,1,0.39,797.03,9,41.02,2,98.12,2.92,5.53,400.74,50.99,High Impact
2019-05-31,Himachal Pradesh,Public Administration,64004.63,39619.9,38.1,7.04,10.806823141763,0,0.0,797.03,1,86.08,5,28.18,2.63,7.85,457.37,90.13,Medium Impact
2019-06-30,Tamil Nadu,Real Estate,32121.24,27689.34,13.8,7.0,14.8022853219914,1,0.27,797.03,1,62.38,4,44.14,1.95,5.28,177.7,60.29,Medium Impact
2019-07-30,Uttarakhand,Agriculture,51348.5,36516.76,28.88,5.33,16.3703498645455,0,0.6,797.03,1,45.99,2,6.3,2.49,8.03,353.22,93.09,High Impact
2019-08-29,Himachal Pradesh,Services,90849.08,54513.73,40.0,5.21,10.4118116742843,0,0.8,797.03,10,74.77,2,87.33,2.69,4.56,74.95,55.95,Low Impact
2019-09-28,Rajasthan,Manufacturing,25679.93,20001.97,22.11,3.75,12.4525397604435,0,0.13,797.03,7,87.97,1,56.86,0.93,4.74,345.72,36.33,High Impact
2019-10-28,Assam,Construction,41627.91,25659.37,38.36,5.57,9.44903588798416,0,0.11,797.03,9,71.1,3,38.51,2.58,7.07,11.71,41.99,Low Impact
2019-11-27,Meghalaya,Transport,75799.56,52806.47,30.33,3.7,11.9479539871872,1,0.92,797.03,3,52.58,5,11.28,0.75,4.28,76.23,56.99,Low Impact
2019-12-27,Madhya Pradesh,Transport,23651.02,20042.86,15.26,8.37,13.7345035181751,1,0.75,797.03,8,61.41,2,94.68,1.36,4.37,355.23,57.7,Medium Impact
2020-01-26,Rajasthan,Finance,8621.01,5361.76,37.81,9.76,13.8720825858795,1,0.59,797.03,9,78.9,4,53.02,1.76,4.83,356.21,71.86,Medium Impact
2020-02-25,Haryana,Public Administration,29685.39,26531.87,10.62,9.79,14.9218205070363,1,0.77,797.03,3,34.39,4,28.29,2.2,7.07,320.94,30.2,High Impact
2020-03-26,Kerala,Agriculture,16960.91,10199.22,39.87,9.06,12.8484106850779,1,0.43,797.03,3,44.12,4,35.02,0.28,8.34,239.2,69.3,High Impact
2020-04-25,Bihar,Public Administration,93040.07,63861.62,31.36,7.21,18.2291610783788,0,0.76,797.03,1,60.07,1,27.07,1.01,7.05,337.78,80.07,Medium Impact
2020-05-25,Himachal Pradesh,Services,81003.92,69608.0,14.07,7.91,13.8818688631712,1,0.37,797.03,2,69.28,4,60.18,1.9,7.97,387.13,70.89,Medium Impact
2020-06-24,Manipur,Real Estate,63706.97,45276.2,28.93,5.0,9.45279304974367,1,0.24,797.03,7,52.05,1,93.0,1.2,6.26,483.27,53.36,Low Impact
2020-07-24,Assam,Transport,87274.6,55477.18,36.43,7.42,13.9040784101593,1,0.73,797.03,3,49.4,5,85.67,2.37,3.41,444.43,99.25,Medium Impact
2020-08-23,Madhya Pradesh,Transport,80563.54,58495.73,27.39,6.19,11.3953616680649,1,0.42,797.03,7,32.69,4,46.04,2.02,3.6,397.47,46.43,High Impact
2020-09-22,Tripura,Real Estate,19470.44,13524.9,30.54,6.37,15.8141925381332,0,0.98,797.03,5,32.12,3,82.65,0.86,6.33,347.68,19.59,Medium Impact
2020-10-22,Odisha,Manufacturing,89363.34,79975.65,10.51,8.3,20.0121991188549,0,0.35,797.03,10,48.12,2,42.31,0.61,4.97,287.5,83.94,Medium Impact
2020-11-21,Arunachal Pradesh,Public Administration,54394.88,38602.51,29.03,4.97,11.3503365669764,0,0.92,797.03,8,64.48,5,25.23,1.96,4.32,61.18,29.1,Medium Impact
2020-12-21,Goa,Services,80936.58,70910.67,12.39,5.23,15.8403339997224,0,0.93,797.03,5,66.16,3,98.34,1.46,5.8,83.61,74.2,High Impact
2021-01-20,Goa,Mining,89713.04,81832.22,8.78,9.47,17.1286307355961,1,0.24,797.03,3,62.11,5,30.39,0.67,7.0,410.32,26.11,Medium Impact
2021-02-19,Uttar Pradesh,Transport,32482.34,24421.4,24.82,3.39,6.96235665094233,1,0.8,797.03,9,56.64,4,32.37,1.11,5.31,401.85,11.52,Low Impact
2021-03-21,Madhya Pradesh,Finance,11895.14,10925.45,8.15,6.4,15.3062274208134,0,0.43,797.03,7,46.4,5,98.97,1.05,7.82,307.62,24.38,Low Impact
2021-04-20,Arunachal Pradesh,Transport,23565.58,17251.45,26.79,9.39,16.5243449712582,0,0.92,797.03,5,56.05,5,13.39,0.5,7.43,219.98,43.93,High Impact
2021-05-20,Uttar Pradesh,Trade,43283.67,40575.3,6.26,7.27,15.776065232521,1,0.45,797.03,7,39.02,5,76.05,1.73,7.41,13.99,19.6,High Impact
2021-06-19,Nagaland,Construction,81983.46,51752.17,36.87,6.82,17.7168741257166,1,0.74,797.03,10,37.49,1,93.58,2.34,8.91,164.26,27.79,Medium Impact
2021-07-19,Odisha,Manufacturing,86212.33,72457.73,15.95,4.75,11.1543457065604,0,0.47,797.03,9,49.5,3,51.18,1.81,4.77,210.9,78.82,Medium Impact
2021-08-18,Kerala,Agriculture,1688.26,1304.75,22.72,5.4,16.4117762321735,0,0.23,797.03,5,94.7,4,0.25,2.51,6.87,243.42,79.29,High Impact
2021-09-17,Bihar,Services,51563.98,37934.44,26.43,8.96,18.4666901428165,0,0.2,797.03,7,51.22,2,37.51,0.56,8.13,464.73,83.57,Low Impact
2021-10-17,Tamil Nadu,Real Estate,42323.69,34766.76,17.86,6.91,13.7960492587798,0,0.43,797.03,9,90.87,4,11.16,1.42,6.48,55.25,85.7,Low Impact
2021-11-16,West Bengal,Mining,22988.67,19456.46,15.37,6.6,14.6322213565796,1,0.76,797.03,1,55.5,4,41.62,1.91,7.74,259.91,47.84,High Impact
2021-12-16,Jharkhand,Finance,12866.67,7739.65,39.85,3.7,8.95581132519011,1,0.61,797.03,4,58.54,1,79.0,2.09,5.49,184.59,88.08,High Impact
2022-01-15,Manipur,Mining,34423.9,22665.85,34.16,3.11,14.9459729973877,1,0.69,797.03,1,81.81,1,43.87,2.15,6.54,495.06,57.33,Low Impact
2022-02-14,Odisha,Manufacturing,94348.06,80154.92,15.04,9.75,18.4235116305039,0,0.28,797.03,8,36.09,5,43.19,2.24,3.33,431.07,52.35,Low Impact
2022-03-16,West Bengal,Trade,32997.09,27494.33,16.68,5.64,8.07846852496629,1,0.48,797.03,3,41.85,4,55.68,2.02,8.91,219.95,74.67,Low Impact
2022-04-15,Himachal Pradesh,Trade,52360.27,49120.04,6.19,7.22,12.48621905748,1,0.04,797.03,2,93.3,3,58.17,0.46,7.8,499.85,29.24,Medium Impact
2022-05-15,Delhi,Real Estate,70598.88,61164.27,13.36,3.56,11.7931443375905,0,0.82,797.03,4,62.88,1,85.63,2.15,8.21,257.52,81.05,Low Impact
2022-06-14,Kerala,Construction,36999.33,34511.88,6.72,7.78,10.3433327779923,0,0.99,797.03,3,32.88,1,30.84,2.23,7.17,84.39,48.65,Low Impact
2022-07-14,Himachal Pradesh,Public Administration,97206.43,82225.87,15.41,9.53,11.7688419131914,0,0.41,797.03,5,33.08,3,82.17,2.98,4.12,278.38,21.46,High Impact
2022-08-13,Haryana,Trade,96282.28,67813.37,29.57,7.03,13.530242395278,0,0.01,797.03,8,88.97,1,56.59,2.14,3.19,113.88,20.74,Low Impact
2022-09-12,Gujarat,Real Estate,25926.45,16511.98,36.31,3.88,9.2069017969267,0,0.17,797.03,10,86.77,3,30.05,2.12,8.19,318.52,24.84,Low Impact
2022-10-12,Bihar,Construction,50227.6,43880.76,12.64,7.07,13.4529860803316,0,0.65,797.03,8,59.8,2,29.51,1.64,5.38,468.78,90.15,Medium Impact
2022-11-11,Gujarat,Manufacturing,30786.95,25413.16,17.45,8.36,12.9869330988,1,0.61,797.03,7,40.61,3,36.11,2.63,4.58,393.31,99.18,Medium Impact
2019-01-01,Madhya Pradesh,Services,29199.21,18011.97,38.31,5.84,9.48717746942981,1,0.79,797.03,8,83.97,2,62.27,2.99,6.37,137.31,42.13,Medium Impact
2019-01-31,Meghalaya,Manufacturing,4651.81,3377.3,27.4,9.16,18.0514335698033,1,0.25,797.03,5,51.1,5,23.08,2.38,5.53,149.13,36.29,High Impact
2019-03-02,Assam,Real Estate,61346.87,57351.96,6.51,7.54,14.685711162678,1,0.76,797.03,10,57.24,5,92.03,1.92,6.91,35.57,29.69,High Impact
2019-04-01,Assam,Services,50765.22,39350.17,22.49,9.29,13.2915421124936,1,0.69,797.03,10,74.36,1,57.49,0.42,5.9,143.65,84.14,Medium Impact
2019-05-01,Bihar,Real Estate,6096.4,4581.17,24.85,7.36,12.5558942625999,1,0.32,797.03,6,52.97,3,92.0,2.23,7.18,47.22,28.83,Medium Impact
2019-05-31,Meghalaya,Manufacturing,28586.0,21730.93,23.98,3.92,11.8380790766332,0,0.55,797.03,8,70.86,1,4.64,2.18,8.12,250.22,93.17,Low Impact
2019-06-30,Jharkhand,Transport,90918.32,61197.94,32.69,5.17,7.89229348272477,0,0.15,797.03,1,87.54,3,34.26,2.37,4.17,354.47,70.06,Low Impact
2019-07-30,Punjab,Transport,24716.63,18019.6,27.1,4.41,7.88453009266179,0,0.45,797.03,6,81.83,1,2.28,0.55,4.98,375.84,90.74,Low Impact
2019-08-29,Jharkhand,Manufacturing,15344.59,11192.88,27.06,9.36,12.0924560410739,1,0.88,797.03,6,54.8,5,27.23,2.03,5.62,30.71,59.86,Medium Impact
2019-09-28,Kerala,Mining,49455.82,30579.73,38.17,8.32,18.4431733271411,1,0.42,797.03,5,48.72,5,86.2,1.03,8.77,170.64,72.16,Low Impact
